q1,q2,q3,q4,lead,d1,d2,d3,d4,distance,spot,play
1,0,0,0,0.5,0,1,0,0,1.5,0.707070707,RUSH
1,0,0,0,0.5,0,0,1,0,1.5,0.707070707,RUSH
1,0,0,0,0.5,0,0,0,1,1.8,0.737373737,PUNT
1,0,0,0,0.441666667,1,0,0,0,1,0.727272727,RUSH
1,0,0,0,0.441666667,0,1,0,0,0.4,0.666666667,RUSH
1,0,0,0,0.441666667,0,0,1,0,0.4,0.666666667,RUSH
1,0,0,0,0.441666667,0,0,0,1,0.5,0.676767677,PUNT
1,0,0,0,0.441666667,1,0,0,0,1,0.606060606,RUSH
1,0,0,0,0.441666667,0,1,0,0,0.5,0.555555556,RUSH
1,0,0,0,0.441666667,0,0,1,0,0.4,0.545454545,RUSH
1,0,0,0,0.441666667,1,0,0,0,1,0.474747475,RUSH
0,1,0,0,0.441666667,0,1,0,0,0.7,0.444444444,RUSH
0,1,0,0,0.441666667,0,0,1,0,0.1,0.383838384,RUSH
0,1,0,0,0.441666667,1,0,0,0,1,0.373737374,RUSH
0,1,0,0,0.441666667,0,1,0,0,0.5,0.323232323,RUSH
0,1,0,0,0.441666667,0,0,1,0,0.1,0.282828283,RUSH
0,1,0,0,0.441666667,1,0,0,0,1,0.161616162,RUSH
0,1,0,0,0.441666667,1,0,0,0,0.2,0.02020202,RUSH
0,1,0,0,0.441666667,0,1,0,0,0.2,0.02020202,RUSH
0,1,0,0,0.5,1,0,0,0,1,0.707070707,RUSH
0,1,0,0,0.5,0,1,0,0,0.5,0.656565657,RUSH
0,1,0,0,0.5,1,0,0,0,1.5,0.636363636,RUSH
0,1,0,0,0.5,0,1,0,0,1.4,0.626262626,RUSH
0,1,0,0,0.5,0,0,1,0,1.5,0.636363636,RUSH
0,1,0,0,0.5,0,0,0,1,0.1,0.494949495,RUSH
0,1,0,0,0.5,1,0,0,0,1,0.909090909,RUSH
0,1,0,0,0.5,0,1,0,0,0.9,0.898989899,RUSH
0,1,0,0,0.5,0,0,1,0,0.7,0.878787879,RUSH
0,1,0,0,0.5,0,0,0,1,0.1,0.818181818,PUNT
0,0,1,0,0.5,1,0,0,0,1,0.818181818,RUSH
0,0,1,0,0.5,0,1,0,0,0.2,0.737373737,RUSH
0,0,1,0,0.5,1,0,0,0,1,0.191919192,RUSH
0,0,1,0,0.5,0,1,0,0,0.3,0.121212121,RUSH
0,0,1,0,0.5,1,0,0,0,0.8,0.080808081,RUSH
0,0,1,0,0.5,0,1,0,0,0.5,0.050505051,RUSH
0,0,1,0,0.5,0,0,1,0,0.5,0.050505051,RUSH
0,0,1,0,0.558333333,1,0,0,0,1,0.909090909,RUSH
0,0,1,0,0.558333333,0,1,0,0,0.4,0.848484848,RUSH
0,0,1,0,0.558333333,0,0,1,0,0.3,0.838383838,RUSH
0,0,1,0,0.558333333,1,0,0,0,1,0.777777778,RUSH
0,0,1,0,0.558333333,0,1,0,0,0.3,0.707070707,RUSH
0,0,1,0,0.558333333,0,0,1,0,0.3,0.707070707,RUSH
0,0,1,0,0.558333333,0,0,0,1,0.5,0.727272727,PUNT
0,0,1,0,0.558333333,1,0,0,0,1,0.808080808,RUSH
0,0,1,0,0.558333333,0,1,0,0,0.5,0.757575758,RUSH
0,0,1,0,0.558333333,0,0,1,0,0.2,0.727272727,RUSH
0,0,1,0,0.558333333,1,0,0,0,1,0.202020202,RUSH
0,0,1,0,0.558333333,0,1,0,0,0.4,0.141414141,RUSH
0,0,1,0,0.558333333,1,0,0,0,0.8,0.080808081,RUSH
0,0,1,0,0.558333333,0,1,0,0,0.4,0.04040404,RUSH
0,0,1,0,0.558333333,0,0,1,0,0.2,0.02020202,RUSH
0,0,0,1,0.616666667,1,0,0,0,1,0.767676768,RUSH
0,0,0,1,0.616666667,0,1,0,0,0.6,0.727272727,RUSH
0,0,0,1,0.616666667,0,0,1,0,0.1,0.676767677,RUSH
0,0,0,1,0.616666667,1,0,0,0,1,0.636363636,RUSH
0,0,0,1,0.616666667,1,0,0,0,1,0.656565657,RUSH
0,0,0,1,0.616666667,0,1,0,0,0.5,0.606060606,RUSH
0,0,0,1,0.616666667,0,0,1,0,0.6,0.616161616,RUSH
0,0,0,1,0.616666667,1,0,0,0,1,0.494949495,RUSH
0,0,0,1,0.616666667,0,1,0,0,1.2,0.515151515,RUSH
0,0,0,1,0.616666667,0,0,1,0,1.1,0.505050505,RUSH
0,0,0,1,0.616666667,0,0,0,1,0.3,0.424242424,PUNT
0,0,0,1,0.616666667,1,0,0,0,1,0.727272727,RUSH
0,0,0,1,0.616666667,0,1,0,0,0.7,0.696969697,RUSH
0,0,0,1,0.616666667,0,0,1,0,0.6,0.686868687,RUSH
0,0,0,1,0.616666667,0,0,0,1,0.6,0.686868687,PUNT
0,0,0,1,0.616666667,1,0,0,0,1,0.676767677,RUSH
0,0,0,1,0.616666667,0,1,0,0,0.9,0.666666667,RUSH
0,0,0,1,0.616666667,1,0,0,0,1,0.545454545,RUSH
0,0,0,1,0.616666667,0,1,0,0,1.1,0.555555556,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.757575758,MEDIUM_PASS
1,0,0,0,0.5,1,0,0,0,1,0.585858586,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.434343434,RUSH
1,0,0,0,0.5,0,1,0,0,1,0.434343434,RUSH
1,0,0,0,0.5,0,0,1,0,0.4,0.373737374,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.313131313,SHORT_PASS
1,0,0,0,0.5,0,1,0,0,1,0.313131313,RUSH
1,0,0,0,0.5,0,0,1,0,0.7,0.282828283,RUSH
1,0,0,0,0.5,0,0,1,0,1.3,0.343434343,RUSH
1,0,0,0,0.5,0,0,0,1,0.4,0.252525253,FIELD_GOAL
1,0,0,0,0.5,1,0,0,0,1,0.787878788,RUSH
1,0,0,0,0.5,0,1,0,0,0.6,0.747474747,LONG_PASS
1,0,0,0,0.5,1,0,0,0,1,0.515151515,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.373737374,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.171717172,RUSH
1,0,0,0,0.5,0,1,0,0,1,0.171717172,RUSH
1,0,0,0,0.5,0,0,1,0,0.3,0.101010101,RUSH
1,0,0,0,0.5,0,0,0,1,0.2,0.090909091,RUSH
1,0,0,0,0.558333333,1,0,0,0,1,0.898989899,RUSH
1,0,0,0,0.558333333,1,0,0,0,1,0.787878788,RUSH
1,0,0,0,0.558333333,0,1,0,0,2.5,0.939393939,RUSH
1,0,0,0,0.558333333,0,0,1,0,2,0.888888889,RUSH
1,0,0,0,0.558333333,0,0,0,1,1.6,0.848484848,PUNT
0,1,0,0,0.558333333,1,0,0,0,1,0.676767677,RUSH
0,1,0,0,0.558333333,0,1,0,0,0.6,0.636363636,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.838383838,LONG_PASS
0,1,0,0,0.616666667,1,0,0,0,1,0.525252525,RUSH
0,1,0,0,0.616666667,0,1,0,0,1.3,0.555555556,RUSH
0,1,0,0,0.616666667,0,0,1,0,0.3,0.454545455,RUSH
0,1,0,0,0.616666667,0,0,0,1,0.2,0.444444444,RUSH
0,1,0,0,0.616666667,1,0,0,0,1,0.373737374,SHORT_PASS
0,1,0,0,0.616666667,0,1,0,0,1.4,0.414141414,RUSH
0,1,0,0,0.675,1,0,0,0,1,0.878787879,RUSH
0,1,0,0,0.675,1,0,0,0,1,0.696969697,MEDIUM_PASS
0,1,0,0,0.675,1,0,0,0,1,0.545454545,SHORT_PASS
0,1,0,0,0.675,0,1,0,0,1,0.545454545,RUSH
0,1,0,0,0.675,0,0,1,0,0.8,0.525252525,SHORT_PASS
0,1,0,0,0.675,0,0,0,1,0.1,0.454545455,RUSH
0,1,0,0,0.675,1,0,0,0,1,0.434343434,RUSH
0,1,0,0,0.675,0,1,0,0,0.4,0.373737374,RUSH
0,1,0,0,0.675,0,0,1,0,0.1,0.343434343,RUSH
0,1,0,0,0.675,1,0,0,0,1,0.303030303,MEDIUM_PASS
0,1,0,0,0.675,1,0,0,0,1,0.191919192,RUSH
0,1,0,0,0.675,0,1,0,0,0.5,0.141414141,RUSH
0,0,1,0,0.675,1,0,0,0,1,0.515151515,RUSH
0,0,1,0,0.675,1,0,0,0,1,0.212121212,RUSH
0,0,1,0,0.675,0,1,0,0,0.6,0.171717172,RUSH
0,0,1,0,0.675,0,0,1,0,0.2,0.131313131,RUSH
0,0,1,0,0.675,1,0,0,0,0.9,0.090909091,RUSH
0,0,1,0,0.675,0,1,0,0,0.7,0.070707071,RUSH
0,0,1,0,0.675,1,0,0,0,1,0.707070707,RUSH
0,0,1,0,0.675,0,1,0,0,0.6,0.666666667,RUSH
0,0,1,0,0.675,0,0,1,0,0.2,0.626262626,RUSH
0,0,1,0,0.675,1,0,0,0,1,0.575757576,RUSH
0,0,1,0,0.675,0,1,0,0,0.3,0.505050505,RUSH
0,0,1,0,0.675,0,0,1,0,0.2,0.494949495,RUSH
0,0,0,1,0.675,1,0,0,0,1,0.565656566,RUSH
0,0,0,1,0.675,1,0,0,0,1,0.424242424,RUSH
0,0,0,1,0.675,0,1,0,0,0.8,0.404040404,RUSH
0,0,0,1,0.675,0,0,1,0,0.9,0.414141414,SHORT_PASS
0,0,0,1,0.675,0,0,0,1,0.9,0.414141414,PUNT
0,0,0,1,0.675,1,0,0,0,1,0.777777778,RUSH
0,0,0,1,0.675,0,1,0,0,0.9,0.767676768,LONG_PASS
0,0,0,1,0.675,1,0,0,0,1,0.343434343,RUSH
0,0,0,1,0.675,1,0,0,0,1,0.151515152,RUSH
0,0,0,1,0.675,0,1,0,0,0.7,0.121212121,RUSH
0,0,0,1,0.733333333,1,0,0,0,1,0.878787879,RUSH
0,0,0,1,0.733333333,0,1,0,0,0.8,0.858585859,RUSH
0,0,0,1,0.733333333,0,0,1,0,0.6,0.838383838,RUSH
0,0,0,1,0.733333333,0,0,0,1,0.1,0.787878788,RUSH
0,0,0,1,0.733333333,1,0,0,0,1,0.717171717,RUSH
0,0,0,1,0.733333333,0,1,0,0,1.4,0.757575758,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.757575758,RUSH
1,0,0,0,0.5,0,1,0,0,0.4,0.696969697,RUSH
1,0,0,0,0.5,0,0,1,0,0.1,0.666666667,RUSH
1,0,0,0,0.5,1,0,0,0,2.5,0.787878788,RUSH
1,0,0,0,0.5,0,1,0,0,0.3,0.565656566,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.505050505,LONG_PASS
1,0,0,0,0.5,1,0,0,0,1,0.282828283,RUSH
1,0,0,0,0.5,0,1,0,0,0.5,0.232323232,RUSH
1,0,0,0,0.5,1,0,0,0,1,0.161616162,RUSH
1,0,0,0,0.5,0,1,0,0,0.6,0.121212121,RUSH
1,0,0,0,0.5,0,0,1,0,0.2,0.080808081,RUSH
1,0,0,0,0.5,0,0,0,1,2.1,0.272727273,FIELD_GOAL
1,0,0,0,0.525,1,0,0,0,1,0.686868687,RUSH
1,0,0,0,0.466666667,1,0,0,0,1,0.757575758,RUSH
